sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.6919167,7.8354053,-0.3886193,7.2967505,1.9035001
grid,-79,0,180,0.9875,-1.6587055,7.835434,-0.38879916,7.2967505,1.9035001
grid,-78,0,180,0.975,-1.6254945,7.835463,-0.388979,7.2967505,1.9035001
grid,-77,0,180,0.9625,-1.5922832,7.835492,-0.38915884,7.2967505,1.9035001
grid,-76,-24,197.52557,0.99624294,-1.4087733,7.2094502,-0.3752007,7.2967505,1.9035001
grid,-76,-23,196.8375,0.9925504,-1.4182612,7.2381153,-0.37590098,7.2967505,1.9035001
grid,-76,0,180,0.95,-1.5590723,7.8355207,-0.38933864,7.2967505,1.9035001
grid,-76,23,163.16252,0.9925504,-1.5494261,8.471958,-0.4003113,7.2967505,1.9035001
grid,-76,24,162.47444,0.99624294,-1.5473502,8.503789,-0.40080735,7.2967505,1.9035001
grid,-75,-27,199.79889,0.99639976,-1.344765,7.121369,-0.37318814,7.2967505,1.9035001
grid,-75,-26,199.11974,0.9922355,-1.3548505,7.1506305,-0.37391433,7.2967505,1.9035001
grid,-75,-25,198.43497,0.98821175,-1.3647664,7.1797175,-0.3746329,7.2967505,1.9035001
grid,-75,-24,197.74469,0.98433036,-1.3745034,7.208625,-0.3753437,7.2967505,1.9035001
grid,-75,-23,197.04904,0.98059297,-1.384052,7.237349,-0.37604654,7.2967505,1.9035001
grid,-75,0,180,0.9375,-1.5258613,7.8355494,-0.38951853,7.2967505,1.9035001
grid,-75,23,162.95097,0.98059297,-1.5157237,8.473215,-0.40049672,7.2967505,1.9035001
grid,-75,24,162.25533,0.98433036,-1.5136188,8.505135,-0.4009932,7.2967505,1.9035001
grid,-75,25,161.56505,0.98821175,-1.5114268,8.537334,-0.40149084,7.2967505,1.9035001
grid,-75,26,160.88028,0.9922355,-1.5091528,8.569807,-0.4019896,7.2967505,1.9035001
grid,-75,27,160.20113,0.99639976,-1.5068003,8.602546,-0.40248942,7.2967505,1.9035001
grid,-74,-30,202.06792,0.9981232,-1.2789458,7.0313716,-0.37109247,7.2967505,1.9035001
grid,-74,-29,201.39983,0.99349445,-1.289541,7.0611916,-0.37184292,7.2967505,1.9035001
grid,-74,-28,200.72557,0.98900205,-1.2999947,7.09085,-0.3725863,7.2967505,1.9035001
grid,-74,-27,200.04526,0.9846478,-1.310298,7.1203437,-0.37332252,7.2967505,1.9035001
grid,-74,-26,199.35901,0.9804336,-1.3204417,7.1496663,-0.37405133,7.2967505,1.9035001
grid,-74,-25,198.66693,0.9763613,-1.3304172,7.178814,-0.37477255,7.2967505,1.9035001
grid,-74,-24,197.96916,0.97243255,-1.3402145,7.207782,-0.3754859,7.2967505,1.9035001
grid,-74,-23,197.26582,0.9686492,-1.3498242,7.236565,-0.37619132,7.2967505,1.9035001
grid,-74,0,180,0.925,-1.49265,7.835578,-0.3896984,7.2967505,1.9035001
grid,-74,23,162.73419,0.9686492,-1.4820118,8.474501,-0.40068233,7.2967505,1.9035001
grid,-74,24,162.03085,0.97243255,-1.4798794,8.50651,-0.40117913,7.2967505,1.9035001
grid,-74,25,161.33308,0.9763613,-1.4776595,8.5388,-0.40167716,7.2967505,1.9035001
grid,-74,26,160.641,0.9804336,-1.4753575,8.571366,-0.40217635,7.2967505,1.9035001
grid,-74,27,159.95476,0.9846478,-1.4729787,8.6041975,-0.40267658,7.2967505,1.9035001
grid,-74,28,159.27444,0.98900205,-1.4705273,8.637287,-0.40317792,7.2967505,1.9035001
grid,-74,29,158.60019,0.99349445,-1.4680091,8.670629,-0.40368026,7.2967505,1.9035001
grid,-74,30,157.9321,0.9981232,-1.4654278,8.704212,-0.4041835,7.2967505,1.9035001
grid,-73,-32,203.67055,0.9963214,-1.2226036,6.969904,-0.36969104,7.2967505,1.9035001
grid,-73,-31,203.00888,0.991369,-1.2335079,7.0000954,-0.3704576,7.2967505,1.9035001
grid,-73,-30,202.34065,0.9865502,-1.2442894,7.0301347,-0.3712176,7.2967505,1.9035001
grid,-73,-29,201.66597,0.98186684,-1.2549388,7.0600176,-0.37197077,7.2967505,1.9035001
grid,-73,-28,200.98491,0.97732097,-1.2654486,7.08974,-0.3727169,7.2967505,1.9035001
grid,-73,-27,200.29758,0.97291446,-1.2758098,7.119296,-0.37345585,7.2967505,1.9035001
grid,-73,-26,199.6041,0.9686492,-1.2860125,7.148681,-0.37418738,7.2967505,1.9035001
grid,-73,-25,198.90459,0.9645271,-1.2960479,7.1778913,-0.3749113,7.2967505,1.9035001
grid,-73,-24,198.19919,0.96055,-1.3059058,7.206919,-0.3756273,7.2967505,1.9035001
grid,-73,-23,197.488,0.9567197,-1.3155771,7.235763,-0.3763353,7.2967505,1.9035001
grid,-73,0,180,0.9125,-1.4594392,7.8356066,-0.38987818,7.2967505,1.9035001
grid,-73,23,162.51201,0.9567197,-1.4482913,8.475814,-0.400868,7.2967505,1.9035001
grid,-73,24,161.80083,0.96055,-1.4461298,8.507915,-0.40136522,7.2967505,1.9035001
grid,-73,25,161.09543,0.9645271,-1.4438818,8.540298,-0.40186366,7.2967505,1.9035001
grid,-73,26,160.39592,0.9686492,-1.4415531,8.572957,-0.40236318,7.2967505,1.9035001
grid,-73,27,159.70244,0.97291446,-1.4391475,8.605884,-0.4028638,7.2967505,1.9035001
grid,-73,28,159.0151,0.97732097,-1.4366701,8.639069,-0.40336552,7.2967505,1.9035001
grid,-73,29,158.33405,0.98186684,-1.4341269,8.672505,-0.40386826,7.2967505,1.9035001
grid,-73,30,157.65936,0.9865502,-1.4315212,8.706185,-0.40437192,7.2967505,1.9035001
grid,-73,31,156.99113,0.991369,-1.4288568,8.740102,-0.40487653,7.2967505,1.9035001
grid,-73,32,156.32947,0.9963214,-1.4261396,8.774246,-0.40538207,7.2967505,1.9035001
grid,-72,-34,205.27773,0.9953014,-1.1655765,6.907563,-0.36825147,7.2967505,1.9035001
grid,-72,-33,204.62358,0.9900284,-1.1767507,6.9381075,-0.3690335,7.2967505,1.9035001
grid,-72,-32,203.9625,0.98488575,-1.1878201,6.9685106,-0.36980933,7.2967505,1.9035001
grid,-72,-31,203.29457,0.9798756,-1.1987756,6.9987664,-0.37057877,7.2967505,1.9035001
grid,-72,-30,202.61987,0.97499996,-1.20961,7.0288706,-0.37134153,7.2967505,1.9035001
grid,-72,-29,201.93849,0.97026086,-1.2203144,7.0588183,-0.37209755,7.2967505,1.9035001
grid,-72,-28,201.25052,0.9656604,-1.2308806,7.0886045,-0.37284648,7.2967505,1.9035001
grid,-72,-27,200.55606,0.9612004,-1.2412994,7.118225,-0.3735882,7.2967505,1.9035001
grid,-72,-26,199.85522,0.9568829,-1.2515615,7.1476736,-0.3743225,7.2967505,1.9035001
grid,-72,-25,199.14816,0.9527099,-1.261657,7.1769457,-0.37504908,7.2967505,1.9035001
grid,-72,-24,198.43497,0.94868326,-1.2715769,7.206037,-0.3757678,7.2967505,1.9035001
grid,-72,-23,197.7158,0.94480485,-1.2813102,7.2349415,-0.3764785,7.2967505,1.9035001
grid,-72,0,180,0.9,-1.4262278,7.835635,-0.390058,7.2967505,1.9035001
grid,-72,23,162.28421,0.94480485,-1.4145614,8.477156,-0.40105385,7.2967505,1.9035001
grid,-72,24,161.56505,0.94868326,-1.4123709,8.50935,-0.4015514,7.2967505,1.9035001
grid,-72,25,160.85185,0.9527099,-1.410095,8.541828,-0.40205026,7.2967505,1.9035001
grid,-72,26,160.14479,0.9568829,-1.4077386,8.574582,-0.4025502,7.2967505,1.9035001
grid,-72,27,159.44395,0.9612004,-1.4053059,8.607605,-0.40305123,7.2967505,1.9035001
grid,-72,28,158.7495,0.9656604,-1.4028032,8.640887,-0.40355334,7.2967505,1.9035001
grid,-72,29,158.06152,0.97026086,-1.4002342,8.674421,-0.40405646,7.2967505,1.9035001
grid,-72,30,157.38014,0.97499996,-1.397604,8.7081995,-0.40456048,7.2967505,1.9035001
grid,-72,31,156.70544,0.9798756,-1.3949169,8.742213,-0.4050655,7.2967505,1.9035001
grid,-72,32,156.03752,0.98488575,-1.3921772,8.776456,-0.40557137,7.2967505,1.9035001
grid,-72,33,155.37643,0.9900284,-1.3893886,8.81092,-0.4060781,7.2967505,1.9035001
grid,-72,34,154.72229,0.9953014,-1.3865554,8.845597,-0.40658566,7.2967505,1.9035001
grid,-71,-36,206.88695,0.9950659,-1.10795,6.8443775,-0.366775,7.2967505,1.9035001
grid,-71,-35,206.24136,0.98947585,-1.1193562,6.87526,-0.3675718,7.2967505,1.9035001
grid,-71,-34,205.58852,0.98401284,-1.1306741,6.9060087,-0.36836275,7.2967505,1.9035001
grid,-71,-33,204.9285,0.97867894,-1.141895,6.936619,-0.36914763,7.2967505,1.9035001
grid,-71,-32,204.2613,0.9734764,-1.1530137,6.967088,-0.36992633,7.2967505,1.9035001
grid,-71,-31,203.58704,0.9684072,-1.164021,6.99741,-0.37069863,7.2967505,1.9035001
grid,-71,-30,202.90578,0.96347356,-1.1749084,7.0275803,-0.37146434,7.2967505,1.9035001
grid,-71,-29,202.2176,0.9586775,-1.185668,7.0575933,-0.3722231,7.2967505,1.9035001
grid,-71,-28,201.52261,0.9540211,-1.1962906,7.087445,-0.37297493,7.2967505,1.9035001
grid,-71,-27,200.8209,0.94950646,-1.2067676,7.11713,-0.37371945,7.2967505,1.9035001
grid,-71,-26,200.11261,0.94513553,-1.217089,7.1466427,-0.37445655,7.2967505,1.9035001
grid,-71,-25,199.39783,0.94091046,-1.2272458,7.175979,-0.37518597,7.2967505,1.9035001
grid,-71,-24,198.67671,0.9368331,-1.2372274,7.2051334,-0.37590748,7.2967505,1.9035001
grid,-71,-23,197.94942,0.93290544,-1.2470235,7.2341003,-0.3766208,7.2967505,1.9035001
grid,-71,0,180,0.8875,-1.3930169,7.8356633,-0.39023784,7.2967505,1.9035001
grid,-71,23,162.0506,0.93290544,-1.3808225,8.478527,-0.40123978,7.2967505,1.9035001
grid,-71,24,161.3233,0.9368331,-1.378603,8.510817,-0.40173778,7.2967505,1.9035001
grid,-71,25,160.60219,0.94091046,-1.3762984,8.543391,-0.40223697,7.2967505,1.9035001
grid,-71,26,159.8874,0.94513553,-1.3739135,8.576243,-0.40273732,7.2967505,1.9035001
grid,-71,27,159.17911,0.94950646,-1.3714547,8.609364,-0.40323874,7.2967505,1.9035001
grid,-71,28,158.4774,0.9540211,-1.3689257,8.642744,-0.40374124,7.2967505,1.9035001
grid,-71,29,157.78241,0.9586775,-1.3663318,8.676377,-0.40424472,7.2967505,1.9035001
grid,-71,30,157.09422,0.96347356,-1.3636773,8.710255,-0.40474924,7.2967505,1.9035001
